date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:17	96228/96228	---M-Z	200	added ('OK')	text/html	etag:W/%2266d7fdb5-177e4%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	(from )
00:13:18	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266ce275a-239b%22	https://dccrsorgi.github.io/robots.txt		(from )
00:13:19	4594/4594	---M--	200	added ('OK')	image/png	etag:%2266d7fdb5-11f2%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:19	232827/232827	---M-Z	200	added ('OK')	text/css	etag:W/%2266d7fdb5-38d7b%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:20	0/0	---M--	200	added ('OK')	text/css	etag:%2266d7fdb5-0%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/material-icons.css	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/material-icons.css	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:20	234371/234371	---M--	200	added ('OK')	image/png	etag:%2266d7fdb5-39383%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:21	346789/346789	---M-Z	200	added ('OK')	text/css	etag:W/%2266d7fdb5-54aa5%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:21	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266d7fdb5-17152%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:23	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266d7fdb5-17152%22	https://dccrsorgi.github.io/GYYAROP/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
00:13:24	3853/3853	---M--	200	added ('OK')	image/png	etag:%2266d7fdb5-f0d%22	https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/pyuu/dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://dccrsorgi.github.io/GYYAROP/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
